16-Apr-25 22:13:25,035|INFO |L.init             |main                       |MQTT.Cool 2.1.0 build 691
16-Apr-25 22:13:25,042|INFO |L.init             |main                       |Server launched on Java Virtual Machine: Oracle Corporation, Java HotSpot(TM) 64-Bit Server VM, 17.0.14+8-LTS-191, 17.0.14+8-LTS-191 on Windows 11
16-Apr-25 22:13:25,055|INFO |L.license          |main                       |License correctly bound with the following parameter(s):
16-Apr-25 22:13:25,056|INFO |L.license          |main                       |        Product                          : LS-MQTT-EXTENDER
16-Apr-25 22:13:25,056|INFO |L.license          |main                       |        Edition                          : COMMUNITY
16-Apr-25 22:13:25,056|INFO |L.license          |main                       |        License Type                     : FREE
16-Apr-25 22:13:25,056|INFO |L.license          |main                       |        Contract Id                      : -
16-Apr-25 22:13:25,403|INFO |L.init             |main                       |Number of detected cores: 16
16-Apr-25 22:13:25,404|INFO |L.init             |main                       |MQTT.Cool starting in COMMUNITY edition.
16-Apr-25 22:13:25,540|INFO |L.init             |main                       |Started RMI server for JMX on port 8888
16-Apr-25 22:13:25,547|INFO |L.init             |ng of RMI Connector for JMX|Binding of RMI Connector for JMX on port 8888 (communication on port 8888) started...
16-Apr-25 22:13:25,644|INFO |L.init             |ng of RMI Connector for JMX|Binding of RMI Connector for JMX on port 8888 (communication on port 8888) successful.
16-Apr-25 22:13:25,646|INFO |L.init             |Connector reachability test|Test of reachability of the JMX Connector at localhost:8888 started...
16-Apr-25 22:13:25,666|INFO |L.init             |Connector reachability test|Test of reachability of the JMX Connector at localhost:8888 successful.
16-Apr-25 22:13:25,805|INFO |L.init             |nnector for Platform mbeans|Binding of RMI Connector for Platform mbeans on port 8888 (communication on port 8888) started...
16-Apr-25 22:13:25,809|INFO |L.init             |nnector for Platform mbeans|Binding of RMI Connector for Platform mbeans on port 8888 (communication on port 8888) successful.
16-Apr-25 22:13:25,822|INFO |L.init.connections |main                       |SERVER pool size set by default at 1000.
16-Apr-25 22:13:25,823|INFO |L.init.connections |main                       |ACCEPT pool size set by default at 16.
16-Apr-25 22:13:25,828|INFO |L.scheduler        |main                       |Creating passthrough checker on ACCEPT
16-Apr-25 22:13:25,839|INFO |L.scheduler        |main                       |Creating checker for 100 on SERVER
16-Apr-25 22:13:25,840|INFO |L.scheduler        |main                       |Importing checkers from SERVER to ACCEPT
16-Apr-25 22:13:25,840|INFO |L.scheduler        |main                       |Adding checker SERVER to ACCEPT
16-Apr-25 22:13:25,842|INFO |L.init.connections |main                       |Queue limit checks for SERVER pool added to checks for ACCEPT pool.
16-Apr-25 22:13:25,842|INFO |L.scheduler        |main                       |Creating passthrough checker on PRESTARTED SESSIONS
16-Apr-25 22:13:25,941|INFO |L.i.subscriptions  |Init for MQTT              |Loading Metadata Adapter for Adapter Set MQTT
16-Apr-25 22:13:25,960|INFO |L.i.subscriptions  |Init for MQTT              |Finished loading Metadata Adapter for Adapter Set MQTT
16-Apr-25 22:13:25,962|INFO |L.i.subscriptions  |Init for MQTT.Connector    |Loading Data Adapter MQTT.Connector
16-Apr-25 22:13:26,166|INFO |L.i.subscriptions  |Init for MQTT.Connector    |Finished loading Data Adapter MQTT.Connector
16-Apr-25 22:13:26,172|INFO |L.init.preprocessor|main                       |Events pool size set by default at 16.
16-Apr-25 22:13:26,177|INFO |L.init.preprocessor|main                       |Snapshot pool size set by default at 16.
16-Apr-25 22:13:26,218|WARN |L.init.monitoring  |main                       |THE MONITORING DASHBOARD IS NOT PASSWORD PROTECTED. Remember to protect it in production! For more details, see PRODUCTION_SECURITY_NOTES.TXT.
16-Apr-25 22:13:26,250|INFO |L.init.pump        |main                       |Pump pool size set by default at 16.
16-Apr-25 22:13:26,250|INFO |L.scheduler        |main                       |Creating passthrough checker on PUMP
16-Apr-25 22:13:26,256|INFO |L.init.connections |main                       |Selector pool size set by default at 16.
16-Apr-25 22:13:26,257|INFO |L.init.connections |main                       |Selector maximum load set by default at 0.
