16-Apr-25 22:13:25,955|INFO |MQTTCoolLogger                          |Init for MQTT              |MQTT Extender starting
16-Apr-25 22:13:25,970|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Starting to load MQTT server configurations
16-Apr-25 22:13:25,989|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Loaded MQTT server configuration for alias "eclipse-iot"
16-Apr-25 22:13:26,120|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Loaded MQTT server configuration for alias "public-tls-mosquitto"
16-Apr-25 22:13:26,121|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Loaded MQTT server configuration for alias "vernemq2"
16-Apr-25 22:13:26,122|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Loaded MQTT server configuration for alias "public-mosquitto"
16-Apr-25 22:13:26,122|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Loaded MQTT server configuration for alias "mosquitto"
16-Apr-25 22:13:26,123|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Loaded MQTT server configuration for alias "vernemq1"
16-Apr-25 22:13:26,151|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Loaded MQTT server configuration for alias "public-tls-client-auth-mosquitto"
16-Apr-25 22:13:26,152|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |Loaded MQTT server configuration for alias "public-hivemq"
16-Apr-25 22:13:26,152|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |MQTT server configurations loaded
16-Apr-25 22:13:26,165|INFO |MQTTCoolLogger.init                     |Init for MQTT.Connector    |MQTT Extender configuration loaded
16-Apr-25 22:13:26,166|INFO |MQTTCoolLogger                          |Init for MQTT.Connector    |MQTT Extender started
16-Apr-25 22:13:26,818|INFO |MQTTCoolLogger                          |SERVER POOLED THREAD 7     |Opened session S939a6422453da991M893T1326817
16-Apr-25 22:13:33,506|INFO |MQTTCoolLogger                          |ASYNC-2                    |Established DEDICATED connection 56b69d00-12ef-4787-a085-850d8d799066 with tcp://broker.mqtt.cool:1883
16-Apr-25 22:13:33,635|INFO |MQTTCoolLogger                          |ASYNC-5                    |Delivered MESSAGE[topic=users/yash_m9k5uv6y,QoS=AT_MOST_ONCE,duplicate=false,retained=true,payload=...] on DEDICATED connection 56b69d00-12ef-4787-a085-850d8d799066
16-Apr-25 22:13:33,806|INFO |MQTTCoolLogger                          |ASYNC-6                    |Successfully subscribed to "chat" (QoS=0) on DEDICATED connection 56b69d00-12ef-4787-a085-850d8d799066
16-Apr-25 22:13:34,002|INFO |MQTTCoolLogger                          |ASYNC-7                    |Successfully subscribed to "users/#" (QoS=0) on DEDICATED connection 56b69d00-12ef-4787-a085-850d8d799066
16-Apr-25 22:13:37,472|INFO |MQTTCoolLogger                          |ASYNC-9                    |Delivered MESSAGE[topic=chat,QoS=AT_MOST_ONCE,duplicate=false,retained=false,payload=...] on DEDICATED connection 56b69d00-12ef-4787-a085-850d8d799066
16-Apr-25 22:13:38,975|INFO |MQTTCoolLogger                          |ASYNC-1                    |Delivered MESSAGE[topic=chat,QoS=AT_MOST_ONCE,duplicate=false,retained=false,payload=...] on DEDICATED connection 56b69d00-12ef-4787-a085-850d8d799066
16-Apr-25 22:13:41,087|INFO |MQTTCoolLogger                          |ASYNC-3                    |Delivered MESSAGE[topic=chat,QoS=AT_MOST_ONCE,duplicate=false,retained=false,payload=...] on DEDICATED connection 56b69d00-12ef-4787-a085-850d8d799066
16-Apr-25 22:13:42,244|INFO |MQTTCoolLogger                          |ASYNC-5                    |Delivered MESSAGE[topic=chat,QoS=AT_MOST_ONCE,duplicate=false,retained=false,payload=...] on DEDICATED connection 56b69d00-12ef-4787-a085-850d8d799066
